hour_utc,samples,pack_current_avg_a,pack_voltage_avg_v,cell_min_avg_mv,cell_max_avg_mv,delta_avg_mv,delta_max_mv,temp_max_avg_c,temp_min_avg_c
2026-03-31 19:00:00,124,0.00,341.2,3544,3561,16.3,19,13.5,11.5
2026-03-31 20:00:00,120,0.00,341.2,3544,3560,16.4,19,13.5,11.5
2026-03-31 21:00:00,120,0.00,341.2,3544,3560,16.3,18,13.5,11.5
2026-03-31 22:00:00,120,0.00,341.2,3544,3560,16.4,18,13.5,11.5
2026-03-31 23:00:00,119,0.00,341.2,3544,3560,16.3,19,13.5,11.5
2026-04-01 00:00:00,120,0.00,341.2,3544,3560,16.3,20,13.5,11.5
2026-04-01 01:00:00,120,0.00,341.1,3544,3560,16.2,18,13.5,11.5
2026-04-01 02:00:00,120,0.00,341.1,3544,3560,16.1,18,13.5,11.5
2026-04-01 03:00:00,120,0.00,341.1,3544,3560,16.3,18,13.5,11.5
2026-04-01 04:00:00,120,0.00,341.1,3543,3560,16.1,18,13.5,11.5
2026-04-01 05:00:00,120,0.00,341.1,3543,3560,16.3,18,13.5,11.2
2026-04-01 06:00:00,120,0.00,341.1,3543,3559,16.2,19,13.5,11.1
2026-04-01 07:00:00,120,0.00,341.1,3543,3559,16.2,19,13.5,11.0
2026-04-01 08:00:00,120,0.00,341.1,3543,3559,16.3,18,13.5,11.0
2026-04-01 09:00:00,53,0.00,341.1,3543,3559,16.2,19,13.5,11.4
2026-04-01 10:00:00,120,0.00,341.0,3543,3559,16.2,19,13.5,11.5
2026-04-01 11:00:00,120,0.00,341.0,3543,3559,16.2,19,13.5,11.5
2026-04-01 12:00:00,120,0.00,341.0,3543,3559,16.4,19,13.5,11.5
2026-04-01 13:00:00,120,0.00,341.0,3543,3559,16.2,19,13.5,11.5
2026-04-01 14:00:00,119,0.00,341.0,3543,3559,16.3,19,13.5,11.5
2026-04-01 15:00:00,117,0.00,341.0,3542,3559,16.3,19,13.5,11.5
2026-04-01 16:00:00,123,0.00,341.0,3542,3559,16.4,19,13.5,11.5
2026-04-01 17:00:00,119,0.00,341.0,3542,3559,16.6,19,13.5,11.5
2026-04-01 18:00:00,120,0.00,341.0,3542,3558,16.7,18,13.5,11.5
2026-04-01 19:00:00,120,0.00,340.9,3542,3558,16.8,19,13.5,11.5
2026-04-01 20:00:00,120,0.00,340.9,3541,3558,16.9,19,13.5,11.4
2026-04-01 21:00:00,119,0.00,340.9,3541,3558,17.2,20,13.5,11.1
2026-04-01 22:00:00,122,0.00,340.9,3541,3558,17.1,19,13.5,11.0
2026-04-01 23:00:00,120,0.00,340.9,3541,3558,17.0,19,13.5,11.0
2026-04-02 00:00:00,120,0.00,340.9,3541,3558,17.0,19,13.5,11.0
2026-04-02 01:00:00,120,0.00,340.9,3541,3558,16.9,19,13.5,11.0
2026-04-02 02:00:00,120,0.00,340.9,3541,3558,16.9,19,13.5,11.0
2026-04-02 03:00:00,120,0.00,340.9,3541,3557,16.6,18,13.5,11.0
2026-04-02 04:00:00,120,0.00,340.9,3541,3557,16.7,19,13.5,11.0
2026-04-02 05:00:00,120,0.00,340.8,3540,3557,16.6,19,13.5,11.0
2026-04-02 06:00:00,119,0.00,340.8,3540,3557,16.8,19,13.4,11.0
2026-04-02 07:00:00,120,0.00,340.8,3540,3557,16.3,18,13.4,11.0
2026-04-02 08:00:00,118,0.00,340.8,3540,3557,16.6,19,13.5,11.0
2026-04-02 09:00:00,120,0.00,340.8,3540,3557,16.4,19,13.0,11.0
2026-04-02 10:00:00,123,0.00,340.8,3540,3556,16.5,19,13.0,11.0
2026-04-02 11:00:00,120,0.00,340.8,3540,3556,16.3,19,13.0,11.0
2026-04-02 12:00:00,120,0.00,340.8,3540,3556,16.2,19,13.0,11.0
2026-04-02 13:00:00,123,0.00,340.8,3540,3556,16.1,19,13.0,11.0
2026-04-02 14:00:00,120,0.00,340.7,3540,3556,16.1,18,13.0,11.0
2026-04-02 15:00:00,120,0.00,340.7,3540,3556,16.0,19,13.0,11.0
2026-04-02 16:00:00,120,0.00,340.7,3540,3556,16.0,19,13.0,11.0
2026-04-02 17:00:00,120,0.00,340.7,3540,3556,15.9,19,13.0,11.0
2026-04-02 18:00:00,120,0.00,340.7,3540,3556,15.9,19,13.0,11.0
2026-04-02 19:00:00,120,0.00,340.7,3540,3556,16.0,19,13.0,11.0
2026-04-02 20:00:00,120,0.00,340.7,3539,3555,16.0,19,13.0,11.0
2026-04-02 21:00:00,120,0.00,340.7,3539,3555,16.0,18,13.0,11.0
2026-04-02 22:00:00,120,0.00,340.7,3539,3555,16.1,18,13.0,11.0
2026-04-02 23:00:00,120,0.00,340.7,3539,3555,16.0,18,13.1,11.0
2026-04-03 00:00:00,120,0.00,340.6,3539,3555,16.0,19,13.1,11.0
2026-04-03 01:00:00,120,0.00,340.6,3539,3555,16.1,18,13.1,11.0
2026-04-03 02:00:00,120,0.00,340.6,3539,3555,16.1,19,13.1,11.0
2026-04-03 03:00:00,119,0.00,340.6,3539,3555,16.1,18,13.2,11.0
2026-04-03 04:00:00,120,0.00,340.6,3539,3555,16.1,18,13.1,11.0
2026-04-03 05:00:00,119,0.00,340.6,3539,3555,16.1,18,13.1,11.0
2026-04-03 06:00:00,120,0.00,340.6,3539,3555,16.0,18,13.2,11.0
2026-04-03 07:00:00,120,0.00,340.6,3539,3555,16.0,19,13.2,11.0
2026-04-03 08:00:00,120,0.00,340.6,3538,3554,16.1,17,13.4,11.0
2026-04-03 09:00:00,120,0.00,340.6,3538,3555,16.3,20,13.5,11.0
2026-04-03 10:00:00,120,0.00,340.5,3538,3554,16.3,19,13.5,11.0
2026-04-03 11:00:00,120,0.00,340.5,3538,3554,16.2,19,13.5,11.0
2026-04-03 12:00:00,120,0.00,340.5,3538,3554,16.1,18,13.5,11.0
2026-04-03 13:00:00,120,0.00,340.5,3538,3554,16.1,19,13.5,11.0
2026-04-03 14:00:00,120,0.00,340.5,3538,3554,16.2,19,13.5,11.1
2026-04-03 15:00:00,118,0.00,340.5,3538,3554,16.1,18,13.5,11.1
2026-04-03 16:00:00,120,0.00,340.5,3538,3554,16.1,18,13.5,11.2
2026-04-03 17:00:00,120,0.00,340.5,3538,3554,16.1,18,13.5,11.2
2026-04-03 18:00:00,120,0.00,340.5,3538,3554,16.0,19,13.5,11.2
2026-04-03 19:00:00,120,0.00,340.4,3537,3554,16.2,18,13.5,11.3
2026-04-03 20:00:00,119,0.00,340.4,3537,3554,16.2,18,13.5,11.4
2026-04-03 21:00:00,124,0.00,340.4,3537,3553,16.3,19,13.5,11.4
2026-04-03 22:00:00,120,0.00,340.4,3537,3553,16.4,19,13.5,11.5
2026-04-03 23:00:00,120,0.00,340.4,3537,3553,16.5,19,13.5,11.5
2026-04-04 00:00:00,120,0.00,340.4,3536,3553,16.8,19,13.5,11.5
2026-04-04 01:00:00,120,0.00,340.4,3536,3553,16.7,19,13.5,11.4
2026-04-04 02:00:00,120,0.00,340.4,3536,3553,16.6,18,13.5,11.1
2026-04-04 03:00:00,120,0.00,340.4,3536,3553,16.8,18,13.5,11.0
2026-04-04 04:00:00,120,0.00,340.4,3536,3553,16.8,19,13.5,11.0
2026-04-04 05:00:00,120,0.00,340.3,3536,3553,16.6,18,13.5,11.5
2026-04-04 06:00:00,120,0.00,340.3,3536,3552,16.5,19,13.5,11.5
2026-04-04 07:00:00,119,0.00,340.3,3536,3552,16.4,19,13.5,11.5
2026-04-04 08:00:00,120,0.00,340.3,3536,3552,16.2,19,13.9,11.5
2026-04-04 09:00:00,119,0.00,340.3,3536,3552,16.0,19,14.0,11.5
2026-04-04 10:00:00,120,0.00,340.3,3536,3552,16.0,18,14.0,11.5
