timestamp_utc,bus,direction,can_id_hex,dlc,data_hex,is_extended,is_fd,is_brs
2026-05-10 21:58:01.381,can_fd,tx,0x7E7,8,0322800200000000,f,f,f
2026-05-10 21:58:01.387,can_fd,rx,0x200,8,161FF604B008B800,f,f,f
2026-05-10 21:58:01.387,can_fd,rx,0x202,8,15F3F5EDB070B800,f,f,f
2026-05-10 21:58:01.388,can_fd,rx,0x204,8,1615F5E3AF20B800,f,f,f
2026-05-10 21:58:01.388,can_fd,rx,0x206,8,15F3F615B0A0B800,f,f,f
2026-05-10 21:58:01.388,can_fd,rx,0x208,8,000000000000B800,f,f,f
2026-05-10 21:58:01.388,can_fd,rx,0x20C,6,020007B0B1AF,f,f,f
2026-05-10 21:58:01.389,can_fd,rx,0x216,7,01FA8F8C8AFB1D,f,f,f
2026-05-10 21:58:01.389,can_fd,rx,0x2C7,6,036000A8F000,f,f,f
2026-05-10 21:58:01.389,can_fd,rx,0x7EF,8,0462800202AAAAAA,f,f,f
2026-05-10 21:58:01.396,can_fd,tx,0x778,7,00310000000000,f,f,f
2026-05-10 21:58:01.412,can_fd,rx,0x200,8,1603F602B028D800,f,f,f
2026-05-10 21:58:01.412,can_fd,rx,0x202,8,160EF60DB078D800,f,f,f
2026-05-10 21:58:01.413,can_fd,rx,0x204,8,15E4F5E4AF20D800,f,f,f
2026-05-10 21:58:01.413,can_fd,rx,0x206,8,1615F616B0B8D800,f,f,f
2026-05-10 21:58:01.413,can_fd,rx,0x208,8,000000000000D800,f,f,f
2026-05-10 21:58:01.413,can_fd,rx,0x20C,6,020007B0B1AF,f,f,f
2026-05-10 21:58:01.414,can_fd,rx,0x216,7,01FA8F8C92FB1D,f,f,f
2026-05-10 21:58:01.414,can_fd,rx,0x2C7,6,036000A8F000,f,f,f
2026-05-10 21:58:01.414,can_fd,rx,0x260,8,5372737373000000,f,f,f
2026-05-10 21:58:01.414,can_fd,rx,0x3E3,7,AFB17BA57101B0,f,f,f
2026-05-10 21:58:01.414,can_fd,rx,0x262,3,707070,f,f,f
2026-05-10 21:58:01.415,can_fd,rx,0x270,8,7373737073737370,f,f,f
2026-05-10 21:58:01.415,can_fd,rx,0x272,8,7070707070707070,f,f,f
2026-05-10 21:58:01.415,can_fd,rx,0x274,2,7070,f,f,f
2026-05-10 21:58:01.415,can_fd,rx,0x302,8,037171737B74751E,f,f,f
2026-05-10 21:58:01.416,can_fd,rx,0x308,5,2492492490,f,f,f
2026-05-10 21:58:01.416,can_fd,tx,0x778,7,00310000000000,f,f,f
2026-05-10 21:58:01.436,can_fd,tx,0x778,7,00310000000000,f,f,f
2026-05-10 21:58:01.437,can_fd,rx,0x200,8,1601F607B028F800,f,f,f
2026-05-10 21:58:01.437,can_fd,rx,0x202,8,1610F610B070F800,f,f,f
2026-05-10 21:58:01.438,can_fd,rx,0x204,8,15E5F5E2AF28F800,f,f,f
2026-05-10 21:58:01.438,can_fd,rx,0x206,8,1615F616B0C0F800,f,f,f
2026-05-10 21:58:01.438,can_fd,rx,0x208,8,000000000000F800,f,f,f
2026-05-10 21:58:01.438,can_fd,rx,0x20C,6,020007B0B1AF,f,f,f
2026-05-10 21:58:01.439,can_fd,rx,0x216,7,01FA8F8C92FB1D,f,f,f
2026-05-10 21:58:01.439,can_fd,rx,0x2C7,6,036000A8F000,f,f,f
2026-05-10 21:58:01.456,can_fd,tx,0x778,7,00310000000000,f,f,f
2026-05-10 21:58:01.462,can_fd,rx,0x200,8,15FAF5F8AFD81800,f,f,f
2026-05-10 21:58:01.462,can_fd,rx,0x202,8,1614F611B0981800,f,f,f
2026-05-10 21:58:01.463,can_fd,rx,0x204,8,15E6F5EAAF501800,f,f,f
2026-05-10 21:58:01.463,can_fd,rx,0x206,8,1611F610B0981800,f,f,f
2026-05-10 21:58:01.463,can_fd,rx,0x208,8,0000000000001800,f,f,f
2026-05-10 21:58:01.463,can_fd,rx,0x20C,6,020007B0B1AF,f,f,f
2026-05-10 21:58:01.464,can_fd,rx,0x260,8,5B7A7A7B7B000000,f,f,f
2026-05-10 21:58:01.464,can_fd,rx,0x216,7,01FA8E8C92FB1D,f,f,f
2026-05-10 21:58:01.464,can_fd,rx,0x2C7,6,036000A8E000,f,f,f
2026-05-10 21:58:01.464,can_fd,rx,0x262,3,787878,f,f,f
2026-05-10 21:58:01.464,can_fd,rx,0x270,8,7B7B7B787B7B7B78,f,f,f
2026-05-10 21:58:01.465,can_fd,rx,0x274,2,7878,f,f,f
2026-05-10 21:58:01.465,can_fd,rx,0x272,8,7878787878787878,f,f,f
2026-05-10 21:58:01.476,can_fd,tx,0x778,7,00310000000000,f,f,f
2026-05-10 21:58:01.481,can_fd,tx,0x7E7,8,0322438B00000000,f,f,f
2026-05-10 21:58:01.487,can_fd,rx,0x200,8,15FAF5FFAFD83800,f,f,f
2026-05-10 21:58:01.487,can_fd,rx,0x202,8,1613F615B0A83800,f,f,f
2026-05-10 21:58:01.488,can_fd,rx,0x204,8,15EAF5EDAF703800,f,f,f
2026-05-10 21:58:01.488,can_fd,rx,0x206,8,1613F612B0783800,f,f,f
2026-05-10 21:58:01.488,can_fd,rx,0x208,8,0000000000003800,f,f,f
2026-05-10 21:58:01.488,can_fd,rx,0x20C,6,020007B0B1AF,f,f,f
2026-05-10 21:58:01.489,can_fd,rx,0x216,7,01FA8F8C92FB1D,f,f,f
2026-05-10 21:58:01.489,can_fd,rx,0x2C7,6,036000A8F000,f,f,f
2026-05-10 21:58:01.489,can_fd,rx,0x7EF,8,037F2231AAAAAAAA,f,f,f
2026-05-10 21:58:01.496,can_fd,tx,0x778,7,00310000000000,f,f,f
2026-05-10 21:58:01.512,can_fd,rx,0x200,8,15FDF5FBB0F85800,f,f,f
2026-05-10 21:58:01.512,can_fd,rx,0x202,8,1614F614B0A85800,f,f,f
2026-05-10 21:58:01.513,can_fd,rx,0x204,8,15ECF5EDB0605800,f,f,f
2026-05-10 21:58:01.513,can_fd,rx,0x206,8,1613F610AFA05800,f,f,f
2026-05-10 21:58:01.513,can_fd,rx,0x208,8,0000000000005800,f,f,f
2026-05-10 21:58:01.513,can_fd,rx,0x20C,6,020007B0B1AF,f,f,f
2026-05-10 21:58:01.515,can_fd,rx,0x216,7,01FA8E8C92FB1D,f,f,f
2026-05-10 21:58:01.515,can_fd,rx,0x2C7,6,036000A8E000,f,f,f
2026-05-10 21:58:01.515,can_fd,rx,0x260,8,6482838380000000,f,f,f
2026-05-10 21:58:01.515,can_fd,rx,0x3E3,7,AFB17BA57101B0,f,f,f
2026-05-10 21:58:01.515,can_fd,rx,0x262,3,808080,f,f,f
2026-05-10 21:58:01.516,can_fd,rx,0x270,8,8383838083838380,f,f,f
2026-05-10 21:58:01.516,can_fd,rx,0x272,8,8080808080808080,f,f,f
2026-05-10 21:58:01.516,can_fd,rx,0x274,2,8080,f,f,f
2026-05-10 21:58:01.516,can_fd,rx,0x302,8,037171737B74751E,f,f,f
2026-05-10 21:58:01.517,can_fd,rx,0x308,5,2492492490,f,f,f
2026-05-10 21:58:01.517,can_fd,tx,0x778,7,00310000000000,f,f,f
2026-05-10 21:58:01.537,can_fd,tx,0x778,7,00310000000000,f,f,f
2026-05-10 21:58:01.538,can_fd,rx,0x200,8,161DF620B0F07800,f,f,f
2026-05-10 21:58:01.538,can_fd,rx,0x202,8,15EFF5F0AFA07800,f,f,f
2026-05-10 21:58:01.539,can_fd,rx,0x204,8,1610F5FEAFE87800,f,f,f
2026-05-10 21:58:01.539,can_fd,rx,0x206,8,15F4F5F2AF907800,f,f,f
2026-05-10 21:58:01.539,can_fd,rx,0x208,8,0000000000007800,f,f,f
2026-05-10 21:58:01.539,can_fd,rx,0x20C,6,020007B0B1AF,f,f,f
2026-05-10 21:58:01.540,can_fd,rx,0x216,7,01FA8E8C8AFB1D,f,f,f
2026-05-10 21:58:01.540,can_fd,rx,0x2C7,6,036000A8E000,f,f,f
2026-05-10 21:58:01.557,can_fd,tx,0x778,7,00310000000000,f,f,f
2026-05-10 21:58:01.563,can_fd,rx,0x200,8,1620F61FB1009800,f,f,f
2026-05-10 21:58:01.563,can_fd,rx,0x202,8,15F0F5F1AF889800,f,f,f
2026-05-10 21:58:01.564,can_fd,rx,0x204,8,15FAF5FAB0009800,f,f,f
2026-05-10 21:58:01.564,can_fd,rx,0x206,8,15F3F5F3AFA09800,f,f,f
2026-05-10 21:58:01.564,can_fd,rx,0x208,8,0000000000009800,f,f,f
2026-05-10 21:58:01.564,can_fd,rx,0x20C,6,020007B0B1AF,f,f,f
2026-05-10 21:58:01.565,can_fd,rx,0x216,7,01FA8E8C8AFB1D,f,f,f
2026-05-10 21:58:01.565,can_fd,rx,0x2C7,6,036000A8E000,f,f,f
2026-05-10 21:58:01.565,can_fd,rx,0x260,8,6B8A8B8B8B000000,f,f,f
2026-05-10 21:58:01.565,can_fd,rx,0x262,3,888888,f,f,f
2026-05-10 21:58:01.565,can_fd,rx,0x270,8,8B8B8B888B8B8B88,f,f,f
2026-05-10 21:58:01.566,can_fd,rx,0x272,8,8888888888888888,f,f,f
2026-05-10 21:58:01.566,can_fd,rx,0x274,2,8888,f,f,f
2026-05-10 21:58:01.577,can_fd,tx,0x778,7,00310000000000,f,f,f
2026-05-10 21:58:01.578,can_out,rx,0x091,8,0D35001100000100,f,f,f
2026-05-10 21:58:01.582,can_fd,tx,0x7E7,8,032243A600000000,f,f,f
2026-05-10 21:58:01.588,can_fd,rx,0x200,8,161EF603B018B800,f,f,f
2026-05-10 21:58:01.588,can_fd,rx,0x202,8,15F3F5EEB070B800,f,f,f
2026-05-10 21:58:01.589,can_fd,rx,0x204,8,1614F5E3AF18B800,f,f,f
2026-05-10 21:58:01.589,can_fd,rx,0x206,8,15F2F616B0A0B800,f,f,f
2026-05-10 21:58:01.589,can_fd,rx,0x208,8,000000000000B800,f,f,f
2026-05-10 21:58:01.589,can_fd,rx,0x20C,6,020007B0B1AF,f,f,f
2026-05-10 21:58:01.590,can_fd,rx,0x216,7,01FA8F8C8AFB1D,f,f,f
2026-05-10 21:58:01.590,can_fd,rx,0x2C7,6,036000A8F000,f,f,f
2026-05-10 21:58:01.590,can_fd,rx,0x7EF,8,046243A600AAAAAA,f,f,f
2026-05-10 21:58:01.597,can_fd,tx,0x778,7,00310000000000,f,f,f
2026-05-10 21:58:01.613,can_fd,rx,0x200,8,1606F604B030D800,f,f,f
2026-05-10 21:58:01.613,can_fd,rx,0x202,8,160FF60EB070D800,f,f,f
2026-05-10 21:58:01.614,can_fd,rx,0x204,8,15E3F5E5AF28D800,f,f,f
2026-05-10 21:58:01.614,can_fd,rx,0x206,8,1614F615B0A8D800,f,f,f
2026-05-10 21:58:01.614,can_fd,rx,0x208,8,000000000000D800,f,f,f
2026-05-10 21:58:01.614,can_fd,rx,0x20C,6,020007B0B1AF,f,f,f
2026-05-10 21:58:01.615,can_fd,rx,0x216,7,01FA8F8C8AFB1D,f,f,f
